web-scraper-order,web-scraper-start-url,link,link-href,name,number,street_address,street_town,Cuisine
"1616845189-1263","https://www.yelp.pl/search?find_desc=cafe&find_loc=%C5%81%C3%B3d%C5%BA%2C%20Wielkopolskie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=%C5%81%C3%B3d%C5%BA%2C%20Wielkopolskie&start=50","56 . Kriek Belgian Pub & cafe","50 826 75 70","ul. Ślusarska 11","null",""
"1616845194-1275","https://www.yelp.pl/search?find_desc=cafe&find_loc=%C5%81%C3%B3d%C5%BA%2C%20Wielkopolskie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=%C5%81%C3%B3d%C5%BA%2C%20Wielkopolskie&start=60","68 . Cafe Bingo Szubarga Urszula","","Wrocławska 25a","null","Bars"
"1616845189-1258","https://www.yelp.pl/search?find_desc=cafe&find_loc=%C5%81%C3%B3d%C5%BA%2C%20Wielkopolskie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=%C5%81%C3%B3d%C5%BA%2C%20Wielkopolskie&start=50","51 . Cafe La Ruina i Raj","","ul. Śródka 3","null","$$ Asian Fusion"
"1616845207-1294","https://www.yelp.pl/search?find_desc=cafe&find_loc=%C5%81%C3%B3d%C5%BA%2C%20Wielkopolskie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=%C5%81%C3%B3d%C5%BA%2C%20Wielkopolskie&start=80","87. Bunuba Cafe","69 182 32 98","ul. Szewska 20","null","Sztuka i rozrywka"
"1616845171-1200","https://www.yelp.pl/search?find_desc=cafe&find_loc=%C5%81%C3%B3d%C5%BA%2C%20Wielkopolskie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=%C5%81%C3%B3d%C5%BA%2C%20Wielkopolskie&start=20","29. Cafe Bebe","50 469 99 81","Strzelecka 20/2","null","Kawiarnie, Kawa i herbata"
"1616845194-1268","https://www.yelp.pl/search?find_desc=cafe&find_loc=%C5%81%C3%B3d%C5%BA%2C%20Wielkopolskie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=%C5%81%C3%B3d%C5%BA%2C%20Wielkopolskie&start=60","61 . Cafe Capri Dobska Krystyna","","St. Marcin 35","null","Bars"
"1616845165-1179","https://www.yelp.pl/search?find_desc=cafe&find_loc=%C5%81%C3%B3d%C5%BA%2C%20Wielkopolskie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=%C5%81%C3%B3d%C5%BA%2C%20Wielkopolskie&start=10","18. Karafka Bistro & Cafe","53 399 73 03","ul. Niezłomnych 2","null","$Kawiarnie, Bistro, Burgery"
"1616845194-1269","https://www.yelp.pl/search?find_desc=cafe&find_loc=%C5%81%C3%B3d%C5%BA%2C%20Wielkopolskie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=%C5%81%C3%B3d%C5%BA%2C%20Wielkopolskie&start=60","62 . Salon Cafe","","Noisy 8","null","Bars"
"1616845165-1178","https://www.yelp.pl/search?find_desc=cafe&find_loc=%C5%81%C3%B3d%C5%BA%2C%20Wielkopolskie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=%C5%81%C3%B3d%C5%BA%2C%20Wielkopolskie&start=10","17. Dżungla Cafe","","ul. Głogowska 32","null","Kawiarnie tematyczne"
"1616845183-1233","https://www.yelp.pl/search?find_desc=cafe&find_loc=%C5%81%C3%B3d%C5%BA%2C%20Wielkopolskie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=%C5%81%C3%B3d%C5%BA%2C%20Wielkopolskie&start=40","42 . Cocorico Cafe","61 852 95 29","ul. Świętosławska 9/1","null","$$ Poland"
"1616845200-1286","https://www.yelp.pl/search?find_desc=cafe&find_loc=%C5%81%C3%B3d%C5%BA%2C%20Wielkopolskie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=%C5%81%C3%B3d%C5%BA%2C%20Wielkopolskie&start=70","79 . Museum Cafe","61 656 09 52","St. Marcin 80/82","null","Beer, wine and alcohol"
"1616845189-1266","https://www.yelp.pl/search?find_desc=cafe&find_loc=%C5%81%C3%B3d%C5%BA%2C%20Wielkopolskie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=%C5%81%C3%B3d%C5%BA%2C%20Wielkopolskie&start=50","59 . Qube - Vodka Bar And Cafe","61 655 20 00","ul. Bukowska 3/9","null","Bars"
"1616845177-1218","https://www.yelp.pl/search?find_desc=cafe&find_loc=%C5%81%C3%B3d%C5%BA%2C%20Wielkopolskie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=%C5%81%C3%B3d%C5%BA%2C%20Wielkopolskie&start=30","37. Cafe pod papugami","88 144 18 12","Piątkowska 149","null","Kawiarnie, Kawa i herbata"
"1616845207-1295","https://www.yelp.pl/search?find_desc=cafe&find_loc=%C5%81%C3%B3d%C5%BA%2C%20Wielkopolskie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=%C5%81%C3%B3d%C5%BA%2C%20Wielkopolskie&start=80","88. Cafe 4 6 Sylwester Knez","","Dolina 6b /  19","null",""
"1616845220-1306","https://www.yelp.pl/search?find_desc=cafe&find_loc=%C5%81%C3%B3d%C5%BA%2C%20Wielkopolskie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=%C5%81%C3%B3d%C5%BA%2C%20Wielkopolskie&start=90","99 . Iguana Restaurant & cafe","61 876 56 06","Świętojańska 2","null","Tourist services"
"1616845177-1215","https://www.yelp.pl/search?find_desc=cafe&find_loc=%C5%81%C3%B3d%C5%BA%2C%20Wielkopolskie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=%C5%81%C3%B3d%C5%BA%2C%20Wielkopolskie&start=30","34 . Etno Cafe Posnania","53 777 22 37","null","null","Coffee and tea"
"1616845207-1288","https://www.yelp.pl/search?find_desc=cafe&find_loc=%C5%81%C3%B3d%C5%BA%2C%20Wielkopolskie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=%C5%81%C3%B3d%C5%BA%2C%20Wielkopolskie&start=80","81 . Cafe Dwóch Braci Arleta Gołaś","","Macieja Rataja 160","null","Bars"
