web-scraper-order,web-scraper-start-url,link,link-href,name,number,street_address,street_town,Cuisine
"1616845306-1347","https://www.yelp.pl/search?find_desc=cafe&find_loc=Lublin%2C%20Lubelskie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Lublin%2C%20Lubelskie&start=40","41 . Magdalenka Cafe Bar","23 541 13 48","Deep 10/39","null","Tourist services"
"1616845301-1340","https://www.yelp.pl/search?find_desc=cafe&find_loc=Lublin%2C%20Lubelskie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Lublin%2C%20Lubelskie&start=30","34 . Józefa Świstowska Cafe Bar Magdalenka","","Głęboka 10 /  39","null","Groceries"
"1616845306-1352","https://www.yelp.pl/search?find_desc=cafe&find_loc=Lublin%2C%20Lubelskie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Lublin%2C%20Lubelskie&start=40","46. Pol Cafe J Czajka B Szaco z Szukiewicz","","To Dysa 1","null",""
"1616845289-1322","https://www.yelp.pl/search?find_desc=cafe&find_loc=Lublin%2C%20Lubelskie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Lublin%2C%20Lubelskie&start=10","16 . Hollywood Cafe","81 534 44 77","ul. Krakowskie Przedmieście 17","null","Cafes , Coffee and tea"
"1616845306-1351","https://www.yelp.pl/search?find_desc=cafe&find_loc=Lublin%2C%20Lubelskie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Lublin%2C%20Lubelskie&start=40","45. Bramma Cafe","81 532 13 97","ul. Grodzka 23","null","Hotele"
"1616845294-1334","https://www.yelp.pl/search?find_desc=cafe&find_loc=Lublin%2C%20Lubelskie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Lublin%2C%20Lubelskie&start=20","28 . Cafe Duet Agnieszka Łukasiewicz","","Veterans 36","null","Bars"
"1616845301-1343","https://www.yelp.pl/search?find_desc=cafe&find_loc=Lublin%2C%20Lubelskie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Lublin%2C%20Lubelskie&start=30","37 . FHU Coretto Cafe Emil Nafalski","","Nałęczowska 30","null","Bars"
"1616845294-1335","https://www.yelp.pl/search?find_desc=cafe&find_loc=Lublin%2C%20Lubelskie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Lublin%2C%20Lubelskie&start=20","29 . Cafe Duet Monika Bednarz","","Veterans 36","null","Bars"
"1616845283-1316","https://www.yelp.pl/search?find_desc=cafe&find_loc=Lublin%2C%20Lubelskie","","","10. Finezja cafe & restaurant","81 469 96 74","Fabryczna  2","null","Kawiarnie, Catering, Kawa i herbata"
"1616845289-1319","https://www.yelp.pl/search?find_desc=cafe&find_loc=Lublin%2C%20Lubelskie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Lublin%2C%20Lubelskie&start=10","13 . Seven Cafe","50 829 11 46","ul. Peowiaków 2","null","Cafes , Coffee and tea"
"1616845289-1326","https://www.yelp.pl/search?find_desc=cafe&find_loc=Lublin%2C%20Lubelskie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Lublin%2C%20Lubelskie&start=10","20 . Cafe Pod Zamkiem Barbara Banaszkiewicz","81 534 53 72","Castle 4a","null","Ice Cream and Frozen Yogurt"
"1616845306-1349","https://www.yelp.pl/search?find_desc=cafe&find_loc=Lublin%2C%20Lubelskie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Lublin%2C%20Lubelskie&start=40","43 . Cafe Bar Fenix","81 743 79 24","ul. Kosciuszki 8","null",""
"1616845283-1314","https://www.yelp.pl/search?find_desc=cafe&find_loc=Lublin%2C%20Lubelskie","","","8. Mrau Cafe Kocia Kawiarnia","57 090 2702","ul. Kapucyńska 2","null","Kawiarnie tematyczne"
"1616845289-1321","https://www.yelp.pl/search?find_desc=cafe&find_loc=Lublin%2C%20Lubelskie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Lublin%2C%20Lubelskie&start=10","15 . Cafe Leo","","ul. Orla 4","null","Cafes , Coffee and tea"
"1616845289-1324","https://www.yelp.pl/search?find_desc=cafe&find_loc=Lublin%2C%20Lubelskie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Lublin%2C%20Lubelskie&start=10","18 . Cafe Aviator Bar","81 534 60 20","ul. Radziszewskiego 2A","null","$$$ Pubs , Cafes , Coffee & Tea"
