web-scraper-order,web-scraper-start-url,link,link-href,name,number,street_address,street_town,Cuisine
"1616843801-342","https://www.yelp.pl/search?find_desc=cafe&find_loc=Gda%C5%84sk%2C+Pomorskie&ns=1","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Gda%C5%84sk%2C%20Pomorskie&start=50","52 . Ancora Cafe Regina Perzanowska","","Konrad Korzeniowski 22b","null","Bars"
"1616843785-311","https://www.yelp.pl/search?find_desc=cafe&find_loc=Gda%C5%84sk%2C+Pomorskie&ns=1","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Gda%C5%84sk%2C%20Pomorskie&start=20","21 . Red Spot Cafe","58 721 50 48","ul. Podwale Grodzkie 2","null","$ Cafes"
"1616843779-302","https://www.yelp.pl/search?find_desc=cafe&find_loc=Gda%C5%84sk%2C+Pomorskie&ns=1","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Gda%C5%84sk%2C%20Pomorskie&start=10","12 . Lookier Cafe","51 492 59 39","ul. Długa 39","null","$ Cafes , Coffee and Tea"
"1616843779-307","https://www.yelp.pl/search?find_desc=cafe&find_loc=Gda%C5%84sk%2C+Pomorskie&ns=1","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Gda%C5%84sk%2C%20Pomorskie&start=10","17. Town Cafe","79 621 22 72","null","null","Lody i mrożony jogurt, Ciastka, Kawiarnie"
"1616843828-395","https://www.yelp.pl/search?find_desc=cafe&find_loc=Gda%C5%84sk%2C+Pomorskie&ns=1","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Gda%C5%84sk%2C%20Pomorskie&start=100","105. Bryza Resort & Spa","58 675 51 00","Międzymorze 2","null","Hotele"
"1616843797-335","https://www.yelp.pl/search?find_desc=cafe&find_loc=Gda%C5%84sk%2C+Pomorskie&ns=1","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Gda%C5%84sk%2C%20Pomorskie&start=40","45 . Cardamom Cafe","50 270 09 10","ul. Pułaskiego 15","null","Cafes , Coffee and tea"
"1616843813-369","https://www.yelp.pl/search?find_desc=cafe&find_loc=Gda%C5%84sk%2C+Pomorskie&ns=1","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Gda%C5%84sk%2C%20Pomorskie&start=70","79 . Prestige Lingua","53 579 77 17","ul. Grażyny 10 / 2","null","Language schools"
"1616843801-348","https://www.yelp.pl/search?find_desc=cafe&find_loc=Gda%C5%84sk%2C+Pomorskie&ns=1","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Gda%C5%84sk%2C%20Pomorskie&start=50","58 . Exlibris Cafe","78 327 91 68","ul. Garbary 6","null",""
"1616843807-352","https://www.yelp.pl/search?find_desc=cafe&find_loc=Gda%C5%84sk%2C+Pomorskie&ns=1","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Gda%C5%84sk%2C%20Pomorskie&start=60","62 . Carte D'or Cafe","51 477 22 29","ul. Pomeranian 7","null","Coffee & Tea , Ice Cream & Frozen Yoghurt , Cafes"
"1616843785-313","https://www.yelp.pl/search?find_desc=cafe&find_loc=Gda%C5%84sk%2C+Pomorskie&ns=1","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Gda%C5%84sk%2C%20Pomorskie&start=20","23 . Lavenda Cafe Gallery","58 621 19 30","ul. Starowiejska 11","null","Coffee and tea , Cafes"
