web-scraper-order,web-scraper-start-url,link,link-href,name,number,street_address,street_town,Cuisine
"1616843623-174","https://www.yelp.pl/search?find_desc=cafe&find_loc=Katowice%2C%20%C5%9Al%C4%85skie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Katowice%2C%20%C5%9Al%C4%85skie&start=30","35 . City Rock","32 201 05 05","ul. Chorzowska 9B","null","$$ Italian , Cafes , Pizza"
"1616843663-244","https://www.yelp.pl/search?find_desc=cafe&find_loc=Katowice%2C%20%C5%9Al%C4%85skie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Katowice%2C%20%C5%9Al%C4%85skie&start=100","105 . Internet Cafe Hoznerowska Renata Szybka Sławomir","","Legionów Polskich 38 /  1","null",""
"1616843669-258","https://www.yelp.pl/search?find_desc=cafe&find_loc=Katowice%2C%20%C5%9Al%C4%85skie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Katowice%2C%20%C5%9Al%C4%85skie&start=110","119 . Cafe Bar Barcelona Rembiesa Lidia Rembiesa Jarosław","33 846 54 88","Brzozowa 25","null","Bars"
"1616843606-142","https://www.yelp.pl/search?find_desc=cafe&find_loc=Katowice%2C%20%C5%9Al%C4%85skie","","","3 . Rebel Garden Cafe","50 444 30 07","al. Gen. J. Ziętka 7","null","Cafes , Coffee and tea"
"1616843612-158","https://www.yelp.pl/search?find_desc=cafe&find_loc=Katowice%2C%20%C5%9Al%C4%85skie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Katowice%2C%20%C5%9Al%C4%85skie&start=10","19. Cafe Bar N‘57","50 159 75 55","Gliwicka 57","null","Kawa i herbata, Kawiarnie"
"1616843629-183","https://www.yelp.pl/search?find_desc=cafe&find_loc=Katowice%2C%20%C5%9Al%C4%85skie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Katowice%2C%20%C5%9Al%C4%85skie&start=40","44 . Olympia. Cafe - Drink","32 209 78 49","Wojciech 36","null","Bars"
"1616843623-178","https://www.yelp.pl/search?find_desc=cafe&find_loc=Katowice%2C%20%C5%9Al%C4%85skie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Katowice%2C%20%C5%9Al%C4%85skie&start=30","39. Cafe Modena","","Gawronów 22","null","Bary"
"1616843634-192","https://www.yelp.pl/search?find_desc=cafe&find_loc=Katowice%2C%20%C5%9Al%C4%85skie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Katowice%2C%20%C5%9Al%C4%85skie&start=50","53 . Water Tower","78 104 00 00","ul. Kilińskiego 5","null","$$$ Modern European , Wine Bars"
"1616843612-152","https://www.yelp.pl/search?find_desc=cafe&find_loc=Katowice%2C%20%C5%9Al%C4%85skie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Katowice%2C%20%C5%9Al%C4%85skie&start=10","13 . Cafe Byfyj","69 673 08 01","ul. Krawczyka 5","null","Breakfast and brunch , Cookies , Pizza"
"1616843669-252","https://www.yelp.pl/search?find_desc=cafe&find_loc=Katowice%2C%20%C5%9Al%C4%85skie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Katowice%2C%20%C5%9Al%C4%85skie&start=110","113 . Cafe Trafica Hurt Detal Tymczyszyn Mariola Czornik Zuzanna","","Orzegowska 2/1","null","Groceries"
"1616843623-179","https://www.yelp.pl/search?find_desc=cafe&find_loc=Katowice%2C%20%C5%9Al%C4%85skie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Katowice%2C%20%C5%9Al%C4%85skie&start=30","40. F H U Alexa Cafe Rene Blacheta Aleksandra","32 252 31 88","Grzyśki 13a","null","Bary"
"1616843686-286","https://www.yelp.pl/search?find_desc=cafe&find_loc=Katowice%2C%20%C5%9Al%C4%85skie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Katowice%2C%20%C5%9Al%C4%85skie&start=140","147 . Internet Cafe Wentowska Bodach Marzena Herman Iwona","","Józefa Wieczorka 18/20","null",""
"1616843617-165","https://www.yelp.pl/search?find_desc=cafe&find_loc=Katowice%2C%20%C5%9Al%C4%85skie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Katowice%2C%20%C5%9Al%C4%85skie&start=20","26 . Baccara Cafe","32 282 03 74","Ul. Gliwicka 8","null","$ Cafes , Coffee and Tea"
"1616843663-243","https://www.yelp.pl/search?find_desc=cafe&find_loc=Katowice%2C%20%C5%9Al%C4%85skie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Katowice%2C%20%C5%9Al%C4%85skie&start=100","104 . Cafe Pizza Italiana","","ul. Męczenników Oświęcimskich 8","null","Italian"
"1616843606-148","https://www.yelp.pl/search?find_desc=cafe&find_loc=Katowice%2C%20%C5%9Al%C4%85skie","","","9. 40 Street Café","51 411 13 33","ul. Kościuszko 40","null","Ciastka, Kawiarnie"
"1616843612-159","https://www.yelp.pl/search?find_desc=cafe&find_loc=Katowice%2C%20%C5%9Al%C4%85skie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Katowice%2C%20%C5%9Al%C4%85skie&start=10","20. Lip-Smacking Cafe","51 297 90 11","ul. Darwina 25","null","$Kawiarnie, Kawa i herbata"
"1616843623-176","https://www.yelp.pl/search?find_desc=cafe&find_loc=Katowice%2C%20%C5%9Al%C4%85skie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Katowice%2C%20%C5%9Al%C4%85skie&start=30","37. Holiday Cafe","32 760 98 81","ul. Bytomska 5","null","Kawa i herbata, Kawiarnie"
"1616843663-241","https://www.yelp.pl/search?find_desc=cafe&find_loc=Katowice%2C%20%C5%9Al%C4%85skie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Katowice%2C%20%C5%9Al%C4%85skie&start=100","102 . Confectionery Cafe No. 5 Urbańczyk Mróz Alina","","Katowicka 5","null","Candy stores"
"1616843645-217","https://www.yelp.pl/search?find_desc=cafe&find_loc=Katowice%2C%20%C5%9Al%C4%85skie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Katowice%2C%20%C5%9Al%C4%85skie&start=70","78 . Patisserie Cafe Cafe Amalio Sebastian Amalio","","Tuwim","null","Bakeries"
