web-scraper-order,web-scraper-start-url,link,link-href,name,number,street_address,street_town,Cuisine
"1616334644-1716","https://www.yelp.pl/search?find_desc=cafe&find_loc=Wroc%C5%82aw%2C%20Dolno%C5%9Bl%C4%85skie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Wroc%C5%82aw%2C%20Dolno%C5%9Bl%C4%85skie&start=50","56 . The Buddha Cafe","60 459 64 29","ul. Szewska 27","null",""
"1616334644-1713","https://www.yelp.pl/search?find_desc=cafe&find_loc=Wroc%C5%82aw%2C%20Dolno%C5%9Bl%C4%85skie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Wroc%C5%82aw%2C%20Dolno%C5%9Bl%C4%85skie&start=50","53 . Internet Cafe Escape Monika Ptak","","Trzebnicka 9","null",""
"1616334644-1714","https://www.yelp.pl/search?find_desc=cafe&find_loc=Wroc%C5%82aw%2C%20Dolno%C5%9Bl%C4%85skie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Wroc%C5%82aw%2C%20Dolno%C5%9Bl%C4%85skie&start=50","54 . Strauss Cafe Poland","71 352 07 16","ul. Rogowska 127","null",""
"1616334615-1647","https://www.yelp.pl/search?find_desc=cafe&find_loc=Wroc%C5%82aw%2C%20Dolno%C5%9Bl%C4%85skie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Wroc%C5%82aw%2C%20Dolno%C5%9Bl%C4%85skie&start=10","17. Kot Cafe Wroclaw","","Stanisława Dubois 25","null","Kawiarnie tematyczne"
"1616334622-1670","https://www.yelp.pl/search?find_desc=cafe&find_loc=Wroc%C5%82aw%2C%20Dolno%C5%9Bl%C4%85skie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Wroc%C5%82aw%2C%20Dolno%C5%9Bl%C4%85skie&start=20","30 . Etno Cafe Wroclavia","57 577 1078","null","null","$$ Coffee and tea"
"1616334652-1744","https://www.yelp.pl/search?find_desc=cafe&find_loc=Wroc%C5%82aw%2C%20Dolno%C5%9Bl%C4%85skie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Wroc%C5%82aw%2C%20Dolno%C5%9Bl%C4%85skie&start=60","64 . Internet Cafe Web B Sędłak A Bem","","Dry 1","null",""
"1616334629-1689","https://www.yelp.pl/search?find_desc=cafe&find_loc=Wroc%C5%82aw%2C%20Dolno%C5%9Bl%C4%85skie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Wroc%C5%82aw%2C%20Dolno%C5%9Bl%C4%85skie&start=30","39. Karczma Lwa","Located in Zoo Wrocław","null","null","Kawiarnie, Kawa i herbata"
"1616334615-1646","https://www.yelp.pl/search?find_desc=cafe&find_loc=Wroc%C5%82aw%2C%20Dolno%C5%9Bl%C4%85skie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Wroc%C5%82aw%2C%20Dolno%C5%9Bl%C4%85skie&start=10","16. Vincent","51 979 97 45","ul. Oławska 8A / 1","null","$$Piekarnie, Kawiarnie"
"1616334629-1682","https://www.yelp.pl/search?find_desc=cafe&find_loc=Wroc%C5%82aw%2C%20Dolno%C5%9Bl%C4%85skie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Wroc%C5%82aw%2C%20Dolno%C5%9Bl%C4%85skie&start=30","32 . Di Cafe Deli","71 780 50 19","ul. Wielka 4 / 20","null","Coffee and tea , Cafes"
"1616334622-1667","https://www.yelp.pl/search?find_desc=cafe&find_loc=Wroc%C5%82aw%2C%20Dolno%C5%9Bl%C4%85skie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Wroc%C5%82aw%2C%20Dolno%C5%9Bl%C4%85skie&start=20","27 . Etno Cafe","53 750 14 41","ul. Border 4A","null","Coffee and tea"
"1616334637-1705","https://www.yelp.pl/search?find_desc=cafe&find_loc=Wroc%C5%82aw%2C%20Dolno%C5%9Bl%C4%85skie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Wroc%C5%82aw%2C%20Dolno%C5%9Bl%C4%85skie&start=40","45 . Tee Books Cafe Bar Elżbieta Kargol","","Prison 16","null","Bars"
"1616334652-1747","https://www.yelp.pl/search?find_desc=cafe&find_loc=Wroc%C5%82aw%2C%20Dolno%C5%9Bl%C4%85skie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Wroc%C5%82aw%2C%20Dolno%C5%9Bl%C4%85skie&start=60","67 . Bernard Piwiarnia-Restaurant","71 344 10 54","ul. Market Square 35","null","$$$$ Modern European , Czech , Brew Pub"
"1616334622-1664","https://www.yelp.pl/search?find_desc=cafe&find_loc=Wroc%C5%82aw%2C%20Dolno%C5%9Bl%C4%85skie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Wroc%C5%82aw%2C%20Dolno%C5%9Bl%C4%85skie&start=20","24 . Garden Cafe","53 099 56 01","pl. Katedralny 1","null","Cafes"
"1616334622-1661","https://www.yelp.pl/search?find_desc=cafe&find_loc=Wroc%C5%82aw%2C%20Dolno%C5%9Bl%C4%85skie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Wroc%C5%82aw%2C%20Dolno%C5%9Bl%C4%85skie&start=20","21 . Cafe Studio Apartment","71 729 46 26","ul. Benedict the Pole 12","null","$ Cafes , Coffee and Tea"
"1616334622-1662","https://www.yelp.pl/search?find_desc=cafe&find_loc=Wroc%C5%82aw%2C%20Dolno%C5%9Bl%C4%85skie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Wroc%C5%82aw%2C%20Dolno%C5%9Bl%C4%85skie&start=20","22. PoliOli Cafe","69 555 01 28","Al Armii Krajowej 8","null","Cafes"
"1616334629-1687","https://www.yelp.pl/search?find_desc=cafe&find_loc=Wroc%C5%82aw%2C%20Dolno%C5%9Bl%C4%85skie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Wroc%C5%82aw%2C%20Dolno%C5%9Bl%C4%85skie&start=30","37. Hard Rock Cafe","71 726 11 40","ul. Market Square 25","null","Bary, Kawiarnie, Amerykańska"
"1616334644-1720","https://www.yelp.pl/search?find_desc=cafe&find_loc=Wroc%C5%82aw%2C%20Dolno%C5%9Bl%C4%85skie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Wroc%C5%82aw%2C%20Dolno%C5%9Bl%C4%85skie&start=50","60 . Grand Cafe","66 471 67 66","pl. Grunwaldzki 27","null","Bars , Clubs"
"1616334644-1715","https://www.yelp.pl/search?find_desc=cafe&find_loc=Wroc%C5%82aw%2C%20Dolno%C5%9Bl%C4%85skie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Wroc%C5%82aw%2C%20Dolno%C5%9Bl%C4%85skie&start=50","55 . At Kalambur. Art-cafe","71 372 35 71","ul. Kuźnicza 29a","null",""
"1616334657-1751","https://www.yelp.pl/search?find_desc=cafe&find_loc=Wroc%C5%82aw%2C%20Dolno%C5%9Bl%C4%85skie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Wroc%C5%82aw%2C%20Dolno%C5%9Bl%C4%85skie&start=70","71 . Marko Cafe Beverage distributors Jarosław Markowicz","71 781 57 92","Dirty 60","null",""
"1616334637-1703","https://www.yelp.pl/search?find_desc=cafe&find_loc=Wroc%C5%82aw%2C%20Dolno%C5%9Bl%C4%85skie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Wroc%C5%82aw%2C%20Dolno%C5%9Bl%C4%85skie&start=40","43 . 304 Brunch / Cafe","79 737 96 89","ul. Clean 4","null","Bistro , Cafes , Coffee and tea"
"1616334652-1749","https://www.yelp.pl/search?find_desc=cafe&find_loc=Wroc%C5%82aw%2C%20Dolno%C5%9Bl%C4%85skie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Wroc%C5%82aw%2C%20Dolno%C5%9Bl%C4%85skie&start=60","69 . Wrocław airport","71 358 11 00","ul. Grain 190","null","Airports"
"1616334607-1629","https://www.yelp.pl/search?find_desc=cafe&find_loc=Wroc%C5%82aw%2C%20Dolno%C5%9Bl%C4%85skie","","","9. Bohema Caffe","53 340 54 33","ul. Świdnicka 22","null","Kawiarnie, Kawa i herbata"
"1616334615-1644","https://www.yelp.pl/search?find_desc=cafe&find_loc=Wroc%C5%82aw%2C%20Dolno%C5%9Bl%C4%85skie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Wroc%C5%82aw%2C%20Dolno%C5%9Bl%C4%85skie&start=10","14 . Bema Café","71 322 02 12","ul. Bolesław Drobner 38","null","$ Coffee & Tea , Cafes , Bakeries"
"1616334629-1690","https://www.yelp.pl/search?find_desc=cafe&find_loc=Wroc%C5%82aw%2C%20Dolno%C5%9Bl%C4%85skie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Wroc%C5%82aw%2C%20Dolno%C5%9Bl%C4%85skie&start=30","40. CIŻ Cafe","50 490 53 58","ul. Włodkowica 9","null","$Kawa i herbata, Ciastka, Kawiarnie"
"1616334607-1624","https://www.yelp.pl/search?find_desc=cafe&find_loc=Wroc%C5%82aw%2C%20Dolno%C5%9Bl%C4%85skie","","","4 . Cafe Borówka","71 343 12 25","ul. Świdnicka 38A","null","$$ Coffee & Tea , Cafes"
"1616334637-1710","https://www.yelp.pl/search?find_desc=cafe&find_loc=Wroc%C5%82aw%2C%20Dolno%C5%9Bl%C4%85skie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Wroc%C5%82aw%2C%20Dolno%C5%9Bl%C4%85skie&start=40","50 . Blue Bar Cafe","71 343 41 26","Pl. Solny 8/9","null","Arts and entertainment"
"1616334644-1712","https://www.yelp.pl/search?find_desc=cafe&find_loc=Wroc%C5%82aw%2C%20Dolno%C5%9Bl%C4%85skie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Wroc%C5%82aw%2C%20Dolno%C5%9Bl%C4%85skie&start=50","52 . In Biegu Café By Jacobs Krönung","71 367 90 15","ul. Powstańców Śląskich 2-4","null","Arts and entertainment"
"1616334652-1741","https://www.yelp.pl/search?find_desc=cafe&find_loc=Wroc%C5%82aw%2C%20Dolno%C5%9Bl%C4%85skie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Wroc%C5%82aw%2C%20Dolno%C5%9Bl%C4%85skie&start=60","61 . Cafe","71 372 22 85","ul. Pretty 9","null",""
"1616334637-1709","https://www.yelp.pl/search?find_desc=cafe&find_loc=Wroc%C5%82aw%2C%20Dolno%C5%9Bl%C4%85skie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Wroc%C5%82aw%2C%20Dolno%C5%9Bl%C4%85skie&start=40","49 . Cafe Escape Soul Anna","","Władysław Reymont 3/3","null",""
"1616334644-1719","https://www.yelp.pl/search?find_desc=cafe&find_loc=Wroc%C5%82aw%2C%20Dolno%C5%9Bl%C4%85skie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Wroc%C5%82aw%2C%20Dolno%C5%9Bl%C4%85skie&start=50","59 . Morelovo Cafe & Baby & Workshop","","ul. Trawowa 53a","null",""
"1616334615-1641","https://www.yelp.pl/search?find_desc=cafe&find_loc=Wroc%C5%82aw%2C%20Dolno%C5%9Bl%C4%85skie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Wroc%C5%82aw%2C%20Dolno%C5%9Bl%C4%85skie&start=10","11 . Bike Cafe","71 346 15 34","ul. św. Antoniego 8","null","Cafes , Coffee and tea"
"1616334607-1628","https://www.yelp.pl/search?find_desc=cafe&find_loc=Wroc%C5%82aw%2C%20Dolno%C5%9Bl%C4%85skie","","","8. Giselle","60 045 48 18","ul. Szewska 27","null","$$Śniadanie i brunch, Kawiarnie, Kawa i herbata"
"1616334622-1669","https://www.yelp.pl/search?find_desc=cafe&find_loc=Wroc%C5%82aw%2C%20Dolno%C5%9Bl%C4%85skie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Wroc%C5%82aw%2C%20Dolno%C5%9Bl%C4%85skie&start=20","29 . Etno Cafe Pasaż Grunwaldzki","51 199 20 01","null","null","Coffee and tea"
"1616334637-1707","https://www.yelp.pl/search?find_desc=cafe&find_loc=Wroc%C5%82aw%2C%20Dolno%C5%9Bl%C4%85skie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Wroc%C5%82aw%2C%20Dolno%C5%9Bl%C4%85skie&start=40","47 . Cafe Uni Bogusław Łęcki Emil Jendrusin","","University 11","null","Bars"
