web-scraper-order,web-scraper-start-url,link,link-href,name,number,street_address,street_town,Cuisine
"1616334196-1277","https://www.yelp.pl/search?find_desc=cafe&find_loc=Gda%C5%84sk%2C+Pomorskie&ns=1","","","5 . Coffee grounds and Mietusy","50 344 96 60","ul. Dike IV / 2","null","Cafes , Pubs"
"1616334241-1381","https://www.yelp.pl/search?find_desc=cafe&find_loc=Gda%C5%84sk%2C+Pomorskie&ns=1","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Gda%C5%84sk%2C%20Pomorskie&start=60","69 . Cafe Kossakówka workshop","66 498 17 82","ul. Świętopełka 13","null","Coffee and tea , Cafes"
"1616334203-1291","https://www.yelp.pl/search?find_desc=cafe&find_loc=Gda%C5%84sk%2C+Pomorskie&ns=1","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Gda%C5%84sk%2C%20Pomorskie&start=10","19. Fikcja cafe","58 710 11 81","Al. Grunwaldzka 99/101","null","Kawiarnie, Kawa i herbata"
"1616334196-1276","https://www.yelp.pl/search?find_desc=cafe&find_loc=Gda%C5%84sk%2C+Pomorskie&ns=1","","","4 . Cafe Faktotum","51 123 33 94","St. Spirit 8/10","null","$$ Cafes , Coffee & Tea"
"1616334241-1378","https://www.yelp.pl/search?find_desc=cafe&find_loc=Gda%C5%84sk%2C+Pomorskie&ns=1","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Gda%C5%84sk%2C%20Pomorskie&start=60","66 . Enjoy Cafe Anna Bryczkowska","","Prof. Józefa Więckowskiego 8/16","null",""
"1616334196-1274","https://www.yelp.pl/search?find_desc=cafe&find_loc=Gda%C5%84sk%2C+Pomorskie&ns=1","","","2 . Drukarnia Cafe","51 007 35 34","ul. Mariacka 36","null","$ Cafes"
"1616334241-1374","https://www.yelp.pl/search?find_desc=cafe&find_loc=Gda%C5%84sk%2C+Pomorskie&ns=1","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Gda%C5%84sk%2C%20Pomorskie&start=60","62 . Carte D'or Cafe","51 477 22 29","ul. Pomeranian 7","null","Coffee & Tea , Ice Cream & Frozen Yoghurt , Cafes"
"1616334226-1336","https://www.yelp.pl/search?find_desc=cafe&find_loc=Gda%C5%84sk%2C+Pomorskie&ns=1","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Gda%C5%84sk%2C%20Pomorskie&start=40","44 . Pellowski Bakery Confectionery","58 301 45 20","ul. Długa 40/42","null","Bakeries , Cookies , Cafes"
"1616334266-1434","https://www.yelp.pl/search?find_desc=cafe&find_loc=Gda%C5%84sk%2C+Pomorskie&ns=1","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Gda%C5%84sk%2C%20Pomorskie&start=90","92 . Tomasz Bochat Cafe Blue Gdynia","","Legionów 102b /  31","null",""
"1616334196-1273","https://www.yelp.pl/search?find_desc=cafe&find_loc=Gda%C5%84sk%2C+Pomorskie&ns=1","","","1. Café Libertas","53 892 83 05","ul. Chlebnicka 37/38","null","$ Coffee and Tea , Breakfast and Brunch , Cakes"
"1616334211-1295","https://www.yelp.pl/search?find_desc=cafe&find_loc=Gda%C5%84sk%2C+Pomorskie&ns=1","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Gda%C5%84sk%2C%20Pomorskie&start=20","23 . Lavenda Cafe Gallery","58 621 19 30","ul. Starowiejska 11","null","Coffee and tea , Cafes"
"1616334226-1340","https://www.yelp.pl/search?find_desc=cafe&find_loc=Gda%C5%84sk%2C+Pomorskie&ns=1","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Gda%C5%84sk%2C%20Pomorskie&start=40","48. Cafe Zaścianek","58 550 05 43","ul. Haffner 3 / 1a","null","$Kawiarnie"
"1616334259-1420","https://www.yelp.pl/search?find_desc=cafe&find_loc=Gda%C5%84sk%2C+Pomorskie&ns=1","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Gda%C5%84sk%2C%20Pomorskie&start=80","88 . Kamila Konieczna Sofa Cafe","","Pomeranian 2","null","Bars"
"1616334241-1376","https://www.yelp.pl/search?find_desc=cafe&find_loc=Gda%C5%84sk%2C+Pomorskie&ns=1","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Gda%C5%84sk%2C%20Pomorskie&start=60","64. Puzon Cafe","58 550 44 23","ul. Morska 16","null","$$ Cafes , Coffee & Tea"
"1616334274-1458","https://www.yelp.pl/search?find_desc=cafe&find_loc=Gda%C5%84sk%2C+Pomorskie&ns=1","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Gda%C5%84sk%2C%20Pomorskie&start=100","106 . Neo Internet Cafe Ewa Miloch and Roman Kamm","","John Paul II 1c","null",""
"1616334233-1357","https://www.yelp.pl/search?find_desc=cafe&find_loc=Gda%C5%84sk%2C+Pomorskie&ns=1","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Gda%C5%84sk%2C%20Pomorskie&start=50","55 . Cafe Nescafe","58 769 31 21","Karmelicka 1","null",""
"1616334218-1313","https://www.yelp.pl/search?find_desc=cafe&find_loc=Gda%C5%84sk%2C+Pomorskie&ns=1","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Gda%C5%84sk%2C%20Pomorskie&start=30","31 . The Old Gdansk Beer Pub & Cafe","69 422 51 00","ul. Piwna 56 / 57","null","$Bary, Gastro puby"
"1616334250-1396","https://www.yelp.pl/search?find_desc=cafe&find_loc=Gda%C5%84sk%2C+Pomorskie&ns=1","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Gda%C5%84sk%2C%20Pomorskie&start=70","74. Lody & Cafe Marko","","ul. Morska 22","null","Coffee & Tea , Ice Cream & Frozen Yoghurt , Cafes"
